apply	key	key_val	target	target_val	eliminates	from	notes
FALSE	Item	total phosphorous	Item	total phosphorus			will have to apply this fix though some other method, otherwise ordering of the fixes will matter
FALSE	MIXS ID	MIXS:0000335	Structured comment name				soil (item = soil texture measurement) and agriculture (texture) are blank
FALSE	Structured comment name	depth					items of depth and soil depth
FALSE	Structured comment name	heavy_metals_meth	Value syntax				look for consensus outside of this term
FALSE	Structured comment name	horizon_meth	Value syntax				look for consensus outside of this term
FALSE	Structured comment name	host_body_product	MIXS ID	MIXS:0000888			Symbiont-associated has MIXS:0000868
FALSE	Structured comment name	host_sex	MIXS ID	MIXS:0000811			Symbiont-associated has MIXS:0000862
FALSE	Structured comment name	host_symbiont	MIXS ID	MIXS:0001298			Symbiont-associated and agriculture have MIXS:0001309
FALSE	Structured comment name	nose_throat_disord	MIXS ID				Human-associated has MIXS:0000270; human-oral has MIXS:0000283
FALSE	Structured comment name	photosynt_activ	Example	0.1 mol CO2 m-2 s-1			added a magnitude to the example from the XLSX file, ' mol CO2 m-2 s-1' BUT THIS SHEET CAN”T HANDLE MULTI-VALUED EXAMPLES?
FALSE	Structured comment name	prod_label_claims					no mixs id
FALSE	Structured comment name	samp_name					
FALSE	Structured comment name	soil_horizon	MIXS ID				soil has MIXS:0001082; agriculture has MIXS:0001291
FALSE	Structured comment name	tot_nitro_cont_meth	Value syntax				look for consensus outside of this term
FALSE	Structured comment name	tot_phos*					items of total phosphorous, total phosphorus and total phosphate; mixs ids of MIXS:0000689 and MIXS:0000117
FALSE	Structured comment name	trophic_level	Value syntax	[autotroph|carboxydotroph|chemoautotroph|chemoheterotroph|chemolithoautotroph|chemolithotroph|chemoorganoheterotroph|chemoorganotroph|chemosynthetic|chemotroph|copiotroph|diazotroph|facultative|autotroph|heterotroph|lithoautotroph|lithoheterotroph|lithotroph|methanotroph|methylotroph|mixotroph|obligate|chemoautolithotroph|oligotroph|organoheterotroph|organotroph|photoautotroph|photoheterotroph|photolithoautotroph|photolithotroph|photosynthetic|phototroph]	[autotroph|carboxydotroph|chemoautotroph|chemoheterotroph|chemolithoautotroph|chemolithotroph|chemoorganoheterotroph|chemoorganotroph|chemosynthetic|chemotroph|copiotroph|diazotroph|facultative|autotroph|heterotroph|lithoautotroph|lithoheterotroph|lithotroph|methanotroph|methylotroph|mixotroph|obligate|chemoautolithotroph|oligotroph|organoheterotroph|organotroph|photoautotroph|photoheterotroph|photolithoautotroph|photolithotroph|photosynthetic|phototroph]		agriculture has some extra whitespace that makes it look like the permissible value are different
TRUE	Item	16S recovered	Structured comment name	x16s_recover			
TRUE	Item	16S recovery software	Structured comment name	x16s_recover_software			
TRUE	Item	assembly quality	Structured comment name	assembly_qual	assembly_quality		all checklists say assembly_qual, but env package agriculture says assembly_quality
TRUE	Item	relevant electronic resources	Structured comment name	associated_resource	url		
TRUE	Item	sample collection method	Structured comment name	samp_collect_method	sample_collec_method		
TRUE	Item	sample name	Structured comment name	samp_name	sample_name		
TRUE	Item	sample storage duration	Structured comment name	samp_store_dur	samp_stor_dur		
TRUE	Item	sample storage location	Structured comment name	samp_store_loc	samp_stor_loc		
TRUE	Item	sample storage temperature	Structured comment name	samp_store_temp	samp_stor_temp		
TRUE	Item	total carbon	Structured comment name	tot_carb	tot_car		
TRUE	Item	total phosphorous	Definition	Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus			wastewater/sludge is totally consistent: total phosphate, MIXS:0000689. Agriculture has SCN = tot_phos, item = total phosphorous and Definition = Total amount or concentration of phosphate. MIXS:0000117 is total phosphorus
TRUE	Item	total phosphorous	MIXS ID	MIXS:0000117			wastewater/sludge is totally consistent: total phosphate, MIXS:0000689. Agriculture has SCN = tot_phos, item = total phosphorous and Definition = Total amount or concentration of phosphate. MIXS:0000117 is total phosphorus
TRUE	Item	total phosphorous	Structured comment name	tot_phosp			wastewater/sludge is totally consistent: total phosphate, MIXS:0000689. Agriculture has SCN = tot_phos, item = total phosphorous and Definition = Total amount or concentration of phosphate. MIXS:0000117 is total phosphorus
TRUE	MIXS ID	MIXS:0000001	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000002	Definition	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).			food-food production facility has The device employed for collecting the sample.
TRUE	MIXS ID	MIXS:0000002	Expected value	device name			some type name
TRUE	MIXS ID	MIXS:0000002	Item	sample collection device			agriculture has sample collection device or method
TRUE	MIXS ID	MIXS:0000002	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000002	Value syntax	{termLabel} [{termID}]|{text}			some {text}
TRUE	MIXS ID	MIXS:0000003	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000008	Section	investigation			
TRUE	MIXS ID	MIXS:0000009	Section	environment			
TRUE	MIXS ID	MIXS:0000010	Section	environment			
TRUE	MIXS ID	MIXS:0000011	Section	environment			
TRUE	MIXS ID	MIXS:0000016	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000018	Occurrence	1			
TRUE	MIXS ID	MIXS:0000018	Section	environment			
TRUE	MIXS ID	MIXS:0000018	Structured comment name	depth	soil_depth		NCBI does recognize soil_depth: The vertical distance below local surface, e.g., for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples. only Agriculture has soil_depth out of most packages. there is no other ID assignment of soil_depth anywhere else in the MIxS XLSX.
TRUE	MIXS ID	MIXS:0000020	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000026	Occurrence	m			
TRUE	MIXS ID	MIXS:0000026	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000027	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000028	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000029	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000030	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000031	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000032	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000037	Section	sequencing			
TRUE	MIXS ID	MIXS:0000038	Section	sequencing			
TRUE	MIXS ID	MIXS:0000039	Section	sequencing			
TRUE	MIXS ID	MIXS:0000040	Section	sequencing			
TRUE	MIXS ID	MIXS:0000041	Section	sequencing			
TRUE	MIXS ID	MIXS:0000042	Section	sequencing			
TRUE	MIXS ID	MIXS:0000043	Section	sequencing			
TRUE	MIXS ID	MIXS:0000044	Section	sequencing			
TRUE	MIXS ID	MIXS:0000045	Section	sequencing			
TRUE	MIXS ID	MIXS:0000046	Occurrence	1			
TRUE	MIXS ID	MIXS:0000046	Section	sequencing			
TRUE	MIXS ID	MIXS:0000047	Section	sequencing			
TRUE	MIXS ID	MIXS:0000048	Section	sequencing			
TRUE	MIXS ID	MIXS:0000049	Section	sequencing			
TRUE	MIXS ID	MIXS:0000050	Occurrence	1			
TRUE	MIXS ID	MIXS:0000050	Section	sequencing			
TRUE	MIXS ID	MIXS:0000051	Section	sequencing			
TRUE	MIXS ID	MIXS:0000052	Section	sequencing			
TRUE	MIXS ID	MIXS:0000056	Item	assembly quality			
TRUE	MIXS ID	MIXS:0000056	Occurrence	1			
TRUE	MIXS ID	MIXS:0000056	Section	sequencing			
TRUE	MIXS ID	MIXS:0000056	Structured comment name	assembly_qual			
TRUE	MIXS ID	MIXS:0000057	Section	sequencing			
TRUE	MIXS ID	MIXS:0000058	Item	assembly software			
TRUE	MIXS ID	MIXS:0000058	Occurrence	1			
TRUE	MIXS ID	MIXS:0000058	Section	sequencing			
TRUE	MIXS ID	MIXS:0000058	Structured comment name	assembly_software			
TRUE	MIXS ID	MIXS:0000059	Section	sequencing			
TRUE	MIXS ID	MIXS:0000090	Section	sequencing			
TRUE	MIXS ID	MIXS:0000091	Section	sequencing			
TRUE	MIXS ID	MIXS:0000091	Structured comment name	associated_resource	url		only agriculture uses url
TRUE	MIXS ID	MIXS:0000092	Section	investigation			
TRUE	MIXS ID	MIXS:0000093	Occurrence	1			
TRUE	MIXS ID	MIXS:0000093	Preferred unit	meter			
TRUE	MIXS ID	MIXS:0000093	Section	environment			
TRUE	MIXS ID	MIXS:0000094	Preferred unit	meter			
TRUE	MIXS ID	MIXS:0000094	Section	environment			
TRUE	MIXS ID	MIXS:0000110	Structured comment name	samp_store_temp	samp_stor_temp		
TRUE	MIXS ID	MIXS:0000111	Section	nucleic acid sequence source			
TRUE	MIXS ID	MIXS:0000113	Section	environment			
TRUE	MIXS ID	MIXS:0000116	Structured comment name	samp_store_dur	samp_stor_dur		
TRUE	MIXS ID	MIXS:0000248	Preferred unit				
TRUE	MIXS ID	MIXS:0000325	Preferred unit	gram, milliliter, microliter			
TRUE	MIXS ID	MIXS:0000335	Structured comment name				soil: soil_text_measure; agriculture: texture. NCBI considers both legitimate structured comment names
TRUE	MIXS ID	MIXS:0000336	Structured comment name	soil_texture_meth	texture_meth		soil: soil_text_measure &agriculture: texture
TRUE	MIXS ID	MIXS:0000338	Structured comment name	tot_nitro_cont_meth	tot_n_meth		agriculture: tot_n_meth &soil/food-farm environment: tot_nitro_cont_meth
TRUE	MIXS ID	MIXS:0000365	Occurrence	1			
TRUE	MIXS ID	MIXS:0000525	Structured comment name	tot_carb	tot_car		
TRUE	MIXS ID	MIXS:0000530	Definition	Total nitrogen content of the sample			food-farm environment has Total nitrogen content of the sample.
TRUE	MIXS ID	MIXS:0000530	Item	total nitrogen content			agriculture has total nitrogen
TRUE	MIXS ID	MIXS:0000530	Structured comment name	tot_nitro_content			agriculture has tot_nitro
TRUE	MIXS ID	MIXS:0000755	Structured comment name	samp_store_loc	samp_stor_loc		
TRUE	MIXS ID	MIXS:0000757	Preferred unit	degrees or cardinal direction			
TRUE	MIXS ID	MIXS:0000874	Occurrence	1			
