class	MIXS ID	Occurrence	Frequency
food-farm environment	MIXS:0000031	1	0.05
agriculture	MIXS:0000031	m	0.95
host-associated	MIXS:0000031	m	0.95
human-associated	MIXS:0000031	m	0.95
human-gut	MIXS:0000031	m	0.95
human-oral	MIXS:0000031	m	0.95
human-skin	MIXS:0000031	m	0.95
human-vaginal	MIXS:0000031	m	0.95
migs_ba	MIXS:0000031	m	0.95
migs_eu	MIXS:0000031	m	0.95
migs_org	MIXS:0000031	m	0.95
migs_pl	MIXS:0000031	m	0.95
migs_vi	MIXS:0000031	m	0.95
mimag	MIXS:0000031	m	0.95
mimarks_c	MIXS:0000031	m	0.95
mimarks_s	MIXS:0000031	m	0.95
mims	MIXS:0000031	m	0.95
misag	MIXS:0000031	m	0.95
miuvig	MIXS:0000031	m	0.95
plant-associated	MIXS:0000031	m	0.95
air	MIXS:0000183	1	0.9411764705882353
food-farm environment	MIXS:0000183	1	0.9411764705882353
host-associated	MIXS:0000183	1	0.9411764705882353
human-associated	MIXS:0000183	1	0.9411764705882353
human-gut	MIXS:0000183	1	0.9411764705882353
human-oral	MIXS:0000183	1	0.9411764705882353
human-skin	MIXS:0000183	1	0.9411764705882353
human-vaginal	MIXS:0000183	1	0.9411764705882353
hydrocarbon resources-cores	MIXS:0000183	1	0.9411764705882353
hydrocarbon resources-fluids/swabs	MIXS:0000183	1	0.9411764705882353
microbial mat/biofilm	MIXS:0000183	1	0.9411764705882353
miscellaneous natural or artificial environment	MIXS:0000183	1	0.9411764705882353
plant-associated	MIXS:0000183	1	0.9411764705882353
sediment	MIXS:0000183	1	0.9411764705882353
wastewater/sludge	MIXS:0000183	1	0.9411764705882353
water	MIXS:0000183	1	0.9411764705882353
symbiont-associated	MIXS:0000183	m	0.058823529411764705
agriculture	MIXS:0000325	1	0.4
soil	MIXS:0000325	1	0.4
food-animal and animal feed	MIXS:0000325	m	0.6
food-food production facility	MIXS:0000325	m	0.6
food-human foods	MIXS:0000325	m	0.6
agriculture	MIXS:0000332	1	0.6666666666666666
soil	MIXS:0000332	1	0.6666666666666666
food-farm environment	MIXS:0000332	m	0.3333333333333333
agriculture	MIXS:0000530	1	0.8
microbial mat/biofilm	MIXS:0000530	1	0.8
sediment	MIXS:0000530	1	0.8
soil	MIXS:0000530	1	0.8
food-farm environment	MIXS:0000530	m	0.2
agriculture	MIXS:0000645	1	0.6666666666666666
soil	MIXS:0000645	1	0.6666666666666666
food-farm environment	MIXS:0000645	m	0.3333333333333333
air	MIXS:0000756	1	0.6666666666666666
built environment	MIXS:0000756	1	0.6666666666666666
food-farm environment	MIXS:0000756	m	0.3333333333333333
agriculture	MIXS:0000859	1	0.8333333333333334
food-food production facility	MIXS:0000859	1	0.8333333333333334
food-human foods	MIXS:0000859	1	0.8333333333333334
host-associated	MIXS:0000859	1	0.8333333333333334
plant-associated	MIXS:0000859	1	0.8333333333333334
food-farm environment	MIXS:0000859	m	0.16666666666666666
symbiont-associated	MIXS:0000872	1	0.14285714285714285
host-associated	MIXS:0000872	m	0.8571428571428571
human-associated	MIXS:0000872	m	0.8571428571428571
human-gut	MIXS:0000872	m	0.8571428571428571
human-oral	MIXS:0000872	m	0.8571428571428571
human-skin	MIXS:0000872	m	0.8571428571428571
human-vaginal	MIXS:0000872	m	0.8571428571428571
plant-associated	MIXS:0001038	1	0.5
food-farm environment	MIXS:0001038	m	0.5
agriculture	MIXS:0001057	1	0.6666666666666666
plant-associated	MIXS:0001057	1	0.6666666666666666
food-farm environment	MIXS:0001057	m	0.3333333333333333
food-farm environment	MIXS:0001081	1	0.3333333333333333
agriculture	MIXS:0001081	m	0.6666666666666666
soil	MIXS:0001081	m	0.6666666666666666
agriculture	MIXS:0001163	1	0.5
food-farm environment	MIXS:0001163	m	0.5
agriculture	MIXS:0001298	1	0.2222222222222222
symbiont-associated	MIXS:0001298	1	0.2222222222222222
host-associated	MIXS:0001298	m	0.7777777777777778
human-associated	MIXS:0001298	m	0.7777777777777778
human-gut	MIXS:0001298	m	0.7777777777777778
human-oral	MIXS:0001298	m	0.7777777777777778
human-skin	MIXS:0001298	m	0.7777777777777778
human-vaginal	MIXS:0001298	m	0.7777777777777778
plant-associated	MIXS:0001298	m	0.7777777777777778
