class	MIXS ID	Preferred unit	Frequency
food-animal and animal feed	MIXS:0000001	liter, gram, cm^2	0.25
food-farm environment	MIXS:0000001	liter, gram, cm^2	0.25
food-food production facility	MIXS:0000001	liter, gram, cm^2	0.25
food-human foods	MIXS:0000001	liter, gram, cm^2	0.25
agriculture	MIXS:0000001	millliter, gram, milligram	0.0625
migs_ba	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_eu	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_org	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_pl	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_vi	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimag	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimarks_c	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimarks_s	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mims	MIXS:0000001	millliter, gram, milligram, liter	0.6875
misag	MIXS:0000001	millliter, gram, milligram, liter	0.6875
miuvig	MIXS:0000001	millliter, gram, milligram, liter	0.6875
air	MIXS:0000100	gram per cubic meter	0.3333333333333333
agriculture	MIXS:0000100	percentage	0.6666666666666666
food-farm environment	MIXS:0000100	percentage	0.6666666666666666
food-animal and animal feed	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-farm environment	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-food production facility	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-human foods	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
agriculture	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
air	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
built environment	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
host-associated	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-associated	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-gut	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-oral	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-skin	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-vaginal	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-cores	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-fluids/swabs	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
microbial mat/biofilm	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
miscellaneous natural or artificial environment	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
plant-associated	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
sediment	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
wastewater/sludge	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
water	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
symbiont-associated	MIXS:0000103	number of organism per cubic meter	0.045454545454545456
hydrocarbon resources-cores	MIXS:0000106	microgram per liter, milligram per liter, parts per million	0.6666666666666666
hydrocarbon resources-fluids/swabs	MIXS:0000106	microgram per liter, milligram per liter, parts per million	0.6666666666666666
water	MIXS:0000106	microgram per liter, milligram per liter, parts per million, micromole per liter	0.3333333333333333
air	MIXS:0000108	microgram per cubic meter	0.5
food-farm environment	MIXS:0000108	micrograms per cubic meter	0.5
agriculture	MIXS:0000117	microgram per liter, micromole per liter	0.25
hydrocarbon resources-cores	MIXS:0000117	micromole per liter, milligram per liter, parts per million	0.75
hydrocarbon resources-fluids/swabs	MIXS:0000117	micromole per liter, milligram per liter, parts per million	0.75
water	MIXS:0000117	micromole per liter, milligram per liter, parts per million	0.75
food-farm environment	MIXS:0000118	kilometer per hour	0.5
air	MIXS:0000118	meter per second, kilometer per hour	0.5
microbial mat/biofilm	MIXS:0000162	microgram per liter, milligram per liter	0.75
miscellaneous natural or artificial environment	MIXS:0000162	microgram per liter, milligram per liter	0.75
sediment	MIXS:0000162	microgram per liter, milligram per liter	0.75
water	MIXS:0000162	micromole per liter, microgram per liter, milligram per liter	0.25
microbial mat/biofilm	MIXS:0000173	nanogram per hour	0.6666666666666666
