class	Structured comment name	Item	Frequency
food-farm environment	soil_texture_meth	soil texture method	0.6666666666666666
soil	soil_texture_meth	soil texture method	0.6666666666666666
agriculture	soil_texture_meth	texture method	0.3333333333333333
agriculture	solar_irradiance	mean seasonal solar irradiance	0.6666666666666666
food-farm environment	solar_irradiance	mean seasonal solar irradiance	0.6666666666666666
air	solar_irradiance	solar irradiance	0.3333333333333333
soil	store_cond	storage conditions	0.5
agriculture	store_cond	storage conditions (fresh/frozen/other)	0.5
food-farm environment	tot_nitro_cont_meth	total nitrogen content method	0.6666666666666666
soil	tot_nitro_cont_meth	total nitrogen content method	0.6666666666666666
agriculture	tot_nitro_cont_meth	total nitrogen method	0.3333333333333333
agriculture	tot_nitro_content	total nitrogen	0.2
food-farm environment	tot_nitro_content	total nitrogen content	0.8
microbial mat/biofilm	tot_nitro_content	total nitrogen content	0.8
sediment	tot_nitro_content	total nitrogen content	0.8
soil	tot_nitro_content	total nitrogen content	0.8
agriculture	tot_phosp	total phosphorous	0.25
hydrocarbon resources-cores	tot_phosp	total phosphorus	0.75
hydrocarbon resources-fluids/swabs	tot_phosp	total phosphorus	0.75
water	tot_phosp	total phosphorus	0.75
